   Time             I(L1)             V0              
 9.002000000E-003  1.035719501E+001  2.796337917E+002 
 9.003000000E-003  1.045485118E+001  2.792872367E+002 
 9.004000000E-003  1.055250735E+001  2.789411113E+002 
 9.005000000E-003  1.065016351E+001  2.785954147E+002 
 9.006000000E-003  1.074781968E+001  2.782501467E+002 
 9.007000000E-003  1.084547585E+001  2.779053065E+002 
 9.008000000E-003  1.094313201E+001  2.775608936E+002 
 9.009000000E-003  1.104078818E+001  2.772169077E+002 
 9.010000000E-003  1.113844434E+001  2.768733480E+002 
 9.011000000E-003  1.123610050E+001  2.765302141E+002 
 9.012000000E-003  1.133375666E+001  2.761875054E+002 
 9.013000000E-003  1.143141282E+001  2.758452215E+002 
 9.014000000E-003  1.152906899E+001  2.755033618E+002 
 9.015000000E-003  1.162672514E+001  2.751619257E+002 
 9.016000000E-003  1.172438130E+001  2.748209128E+002 
 9.017000000E-003  1.182203746E+001  2.744803226E+002 
 9.018000000E-003  1.191969362E+001  2.741401544E+002 
 9.019000000E-003  1.201734978E+001  2.738004078E+002 
 9.020000000E-003  1.211500593E+001  2.734610822E+002 
 9.021000000E-003  1.221266209E+001  2.731221772E+002 
 9.022000000E-003  1.231031824E+001  2.727836922E+002 
 9.023000000E-003  1.240797439E+001  2.724456267E+002 
 9.024000000E-003  1.250563055E+001  2.721079801E+002 
 9.025000000E-003  1.260328670E+001  2.717707520E+002 
 9.026000000E-003  1.270094285E+001  2.714339419E+002 
 9.027000000E-003  1.279859900E+001  2.710975491E+002 
 9.028000000E-003  1.289625515E+001  2.707615733E+002 
 9.029000000E-003  1.299391130E+001  2.704260138E+002 
 9.030000000E-003  1.309156745E+001  2.700908702E+002 
 9.031000000E-003  1.318922359E+001  2.697561419E+002 
 9.032000000E-003  1.328687974E+001  2.694218285E+002 
 9.033000000E-003  1.338453589E+001  2.690879294E+002 
 9.034000000E-003  1.348219203E+001  2.687544441E+002 
 9.035000000E-003  1.357984818E+001  2.684213721E+002 
 9.036000000E-003  1.367750432E+001  2.680887129E+002 
 9.037000000E-003  1.363541934E+001  2.683244886E+002 
 9.038000000E-003  1.352314559E+001  2.688382173E+002 
 9.039000000E-003  1.341057345E+001  2.693461986E+002 
 9.040000000E-003  1.329760745E+001  2.698465067E+002 
 9.041000000E-003  1.318425358E+001  2.703391267E+002 
 9.042000000E-003  1.307051786E+001  2.708240439E+002 
 9.043000000E-003  1.295640632E+001  2.713012444E+002 
 9.044000000E-003  1.284192499E+001  2.717707144E+002 
 9.045000000E-003  1.272707990E+001  2.722324406E+002 
 9.046000000E-003  1.261187713E+001  2.726864100E+002 
 9.047000000E-003  1.249632273E+001  2.731326101E+002 
 9.048000000E-003  1.238042277E+001  2.735710287E+002 
 9.049000000E-003  1.226418334E+001  2.740016541E+002 
 9.050000000E-003  1.214761054E+001  2.744244750E+002 
 9.051000000E-003  1.203071046E+001  2.748394804E+002 
 9.052000000E-003  1.191348922E+001  2.752466597E+002 
 9.053000000E-003  1.179595293E+001  2.756460027E+002 
 9.054000000E-003  1.167810772E+001  2.760374997E+002 
 9.055000000E-003  1.155995973E+001  2.764211413E+002 
 9.056000000E-003  1.144151508E+001  2.767969185E+002 
 9.057000000E-003  1.132277994E+001  2.771648227E+002 
 9.058000000E-003  1.120376045E+001  2.775248458E+002 
 9.059000000E-003  1.108446277E+001  2.778769799E+002 
 9.060000000E-003  1.096489308E+001  2.782212175E+002 
 9.061000000E-003  1.084505754E+001  2.785575518E+002 
 9.062000000E-003  1.072496232E+001  2.788859761E+002 
 9.063000000E-003  1.060461362E+001  2.792064841E+002 
 9.064000000E-003  1.048401762E+001  2.795190701E+002 
 9.065000000E-003  1.036318051E+001  2.798237286E+002 
 9.066000000E-003  1.024210848E+001  2.801204545E+002 
 9.067000000E-003  1.019379338E+001  2.801971455E+002 
 9.068000000E-003  1.029144955E+001  2.798500000E+002 
 9.069000000E-003  1.038910572E+001  2.795031771E+002 
 9.070000000E-003  1.048676188E+001  2.791567840E+002 
 9.071000000E-003  1.058441805E+001  2.788108202E+002 
 9.072000000E-003  1.068207422E+001  2.784652851E+002 
 9.073000000E-003  1.077973039E+001  2.781201783E+002 
 9.074000000E-003  1.087738655E+001  2.777754992E+002 
 9.075000000E-003  1.097504272E+001  2.774312472E+002 
 9.076000000E-003  1.107269888E+001  2.770874219E+002 
 9.077000000E-003  1.117035504E+001  2.767440227E+002 
 9.078000000E-003  1.126801121E+001  2.764010491E+002 
 9.079000000E-003  1.136566737E+001  2.760585005E+002 
 9.080000000E-003  1.146332353E+001  2.757163765E+002 
 9.081000000E-003  1.156097969E+001  2.753746764E+002 
 9.082000000E-003  1.165863585E+001  2.750333999E+002 
 9.083000000E-003  1.175629201E+001  2.746925462E+002 
 9.084000000E-003  1.185394816E+001  2.743521151E+002 
 9.085000000E-003  1.195160432E+001  2.740121058E+002 
 9.086000000E-003  1.204926048E+001  2.736725179E+002 
 9.087000000E-003  1.214691663E+001  2.733333508E+002 
 9.088000000E-003  1.224457279E+001  2.729946041E+002 
 9.089000000E-003  1.234222894E+001  2.726562772E+002 
 9.090000000E-003  1.243988509E+001  2.723183696E+002 
 9.091000000E-003  1.253754125E+001  2.719808807E+002 
 9.092000000E-003  1.263519740E+001  2.716438101E+002 
 9.093000000E-003  1.273285355E+001  2.713071573E+002 
 9.094000000E-003  1.283050970E+001  2.709709217E+002 
 9.095000000E-003  1.292816585E+001  2.706351028E+002 
 9.096000000E-003  1.302582200E+001  2.702997000E+002 
 9.097000000E-003  1.312347814E+001  2.699647130E+002 
 9.098000000E-003  1.322113429E+001  2.696301411E+002 
 9.099000000E-003  1.331879044E+001  2.692959838E+002 
 9.100000000E-003  1.341644658E+001  2.689622406E+002 
 9.101000000E-003  1.351410273E+001  2.686289111E+002 
 9.102000000E-003  1.361175887E+001  2.682959947E+002 
 9.103000000E-003  1.370941502E+001  2.679634909E+002 
 9.104000000E-003  1.359742032E+001  2.684823003E+002 
 9.105000000E-003  1.348502479E+001  2.689934551E+002 
 9.106000000E-003  1.337233237E+001  2.694988592E+002 
 9.107000000E-003  1.325924811E+001  2.699965858E+002 
 9.108000000E-003  1.314577800E+001  2.704866202E+002 
 9.109000000E-003  1.303192807E+001  2.709689478E+002 
 9.110000000E-003  1.291770434E+001  2.714435549E+002 
 9.111000000E-003  1.280311284E+001  2.719104277E+002 
 9.112000000E-003  1.268815962E+001  2.723695531E+002 
 9.113000000E-003  1.257285074E+001  2.728209182E+002 
 9.114000000E-003  1.245719227E+001  2.732645107E+002 
 9.115000000E-003  1.234119029E+001  2.737003186E+002 
 9.116000000E-003  1.222485088E+001  2.741283301E+002 
 9.117000000E-003  1.210818013E+001  2.745485342E+002 
 9.118000000E-003  1.199118416E+001  2.749609200E+002 
 9.119000000E-003  1.187386907E+001  2.753654769E+002 
 9.120000000E-003  1.175624098E+001  2.757621951E+002 
 9.121000000E-003  1.163830602E+001  2.761510649E+002 
 9.122000000E-003  1.152007033E+001  2.765320769E+002 
 9.123000000E-003  1.140154004E+001  2.769052224E+002 
 9.124000000E-003  1.128272131E+001  2.772704929E+002 
 9.125000000E-003  1.116362030E+001  2.776278804E+002 
 9.126000000E-003  1.104424316E+001  2.779773771E+002 
 9.127000000E-003  1.092459606E+001  2.783189757E+002 
 9.128000000E-003  1.080468518E+001  2.786526695E+002 
 9.129000000E-003  1.068451669E+001  2.789784519E+002 
 9.130000000E-003  1.056409677E+001  2.792963168E+002 
