   Time             I(C0)             I(L0)             I(R0)             V0              
 8.001000000E-003 -8.736871391E+000  1.031121293E+001  8.736833554E+000  1.783770187E+002 
 8.002000000E-003 -8.720046017E+000  1.069864893E+001  8.720008214E+000  1.780335013E+002 
 8.003000000E-003 -8.703244952E+000  1.108608492E+001  8.703207183E+000  1.776904803E+002 
 8.004000000E-003 -8.686476258E+000  1.147352091E+001  8.686438523E+000  1.773481201E+002 
 8.005000000E-003 -8.669739873E+000  1.186095688E+001  8.669702172E+000  1.770064196E+002 
 8.006000000E-003 -8.653035734E+000  1.224839285E+001  8.652998067E+000  1.766653775E+002 
 8.007000000E-003 -8.636363779E+000  1.263582881E+001  8.636326146E+000  1.763249924E+002 
 8.008000000E-003 -8.619723946E+000  1.302326476E+001  8.619686347E+000  1.759852632E+002 
 8.009000000E-003 -8.603116173E+000  1.341070070E+001  8.603078609E+000  1.756461885E+002 
 8.010000000E-003 -8.586540399E+000  1.379813664E+001  8.586502869E+000  1.753077672E+002 
 8.011000000E-003 -8.569996562E+000  1.418557256E+001  8.569959065E+000  1.749699979E+002 
 8.012000000E-003 -8.553484600E+000  1.457300848E+001  8.553447137E+000  1.746328793E+002 
 8.013000000E-003 -8.537004452E+000  1.496044439E+001  8.536967022E+000  1.742964103E+002 
 8.014000000E-003 -8.520556057E+000  1.534788029E+001  8.520518661E+000  1.739605896E+002 
 8.015000000E-003 -8.504139353E+000  1.573531619E+001  8.504101990E+000  1.736254159E+002 
 8.016000000E-003 -8.487754279E+000  1.612275207E+001  8.487716950E+000  1.732908880E+002 
 8.017000000E-003 -8.471400774E+000  1.651018795E+001  8.471363479E+000  1.729570046E+002 
 8.018000000E-003 -8.455078779E+000  1.689762382E+001  8.455041516E+000  1.726237646E+002 
 8.019000000E-003 -8.438788231E+000  1.728505968E+001  8.438751002E+000  1.722911666E+002 
 8.020000000E-003 -8.422529070E+000  1.767249553E+001  8.422491874E+000  1.719592094E+002 
 8.021000000E-003 -8.406301237E+000  1.805993137E+001  8.406264074E+000  1.716278918E+002 
 8.022000000E-003 -8.390104669E+000  1.844736721E+001  8.390067540E+000  1.712972125E+002 
 8.023000000E-003 -8.373939308E+000  1.883480303E+001  8.373902211E+000  1.709671704E+002 
 8.024000000E-003 -8.357805093E+000  1.922223885E+001  8.357768029E+000  1.706377642E+002 
 8.025000000E-003 -8.341701964E+000  1.960967466E+001  8.341664933E+000  1.703089927E+002 
 8.026000000E-003 -8.325629861E+000  1.999711047E+001  8.325592863E+000  1.699808546E+002 
 8.027000000E-003 -8.309588725E+000  2.038454626E+001  8.309551760E+000  1.696533487E+002 
 8.028000000E-003 -8.293578495E+000  2.077198205E+001  8.293541563E+000  1.693264739E+002 
 8.029000000E-003 -8.277599113E+000  2.115941782E+001  8.277562213E+000  1.690002288E+002 
 8.030000000E-003 -8.261650518E+000  2.154685359E+001  8.261613651E+000  1.686746123E+002 
 8.031000000E-003 -8.245732652E+000  2.193428935E+001  8.245695817E+000  1.683496232E+002 
 8.032000000E-003  1.341977797E+001  2.168685368E+001  8.267038835E+000  1.687853765E+002 
 8.033000000E-003  1.306668510E+001  2.135913117E+001  8.292409150E+000  1.693033537E+002 
 8.034000000E-003  1.271336244E+001  2.103066790E+001  8.317268481E+000  1.698108984E+002 
 8.035000000E-003  1.235975175E+001  2.070123491E+001  8.341446127E+000  1.703045254E+002 
 8.036000000E-003  1.200588053E+001  2.037085917E+001  8.364941558E+000  1.707842238E+002 
 8.037000000E-003  1.165177625E+001  2.003956767E+001  8.387754298E+000  1.712499839E+002 
 8.038000000E-003  1.129746633E+001  1.970738743E+001  8.409883925E+000  1.717017971E+002 
 8.039000000E-003  1.094297818E+001  1.937434546E+001  8.431330068E+000  1.721396558E+002 
 8.040000000E-003  1.058833915E+001  1.904046882E+001  8.452092410E+000  1.725635536E+002 
 8.041000000E-003  1.023357655E+001  1.870578454E+001  8.472170685E+000  1.729734851E+002 
 8.042000000E-003  9.878717664E+000  1.837031968E+001  8.491564683E+000  1.733694459E+002 
 8.043000000E-003  9.523789706E+000  1.803410132E+001  8.510274244E+000  1.737514328E+002 
 8.044000000E-003  9.168819860E+000  1.769715653E+001  8.528299260E+000  1.741194435E+002 
 8.045000000E-003  8.813835255E+000  1.735951238E+001  8.545639678E+000  1.744734770E+002 
 8.046000000E-003  8.458862971E+000  1.702119594E+001  8.562295494E+000  1.748135333E+002 
 8.047000000E-003  8.103930033E+000  1.668223430E+001  8.578266759E+000  1.751396133E+002 
 8.048000000E-003  7.749063411E+000  1.634265453E+001  8.593553574E+000  1.754517191E+002 
 8.049000000E-003  7.394290020E+000  1.600248369E+001  8.608156093E+000  1.757498539E+002 
 8.050000000E-003  7.039636715E+000  1.566174884E+001  8.622074522E+000  1.760340218E+002 
 8.051000000E-003  6.685130288E+000  1.532047704E+001  8.635309119E+000  1.763042281E+002 
 8.052000000E-003  6.330797471E+000  1.497869532E+001  8.647860192E+000  1.765604792E+002 
 8.053000000E-003  5.976664930E+000  1.463643071E+001  8.659728102E+000  1.768027824E+002 
 8.054000000E-003  5.622759264E+000  1.429371023E+001  8.670913261E+000  1.770311460E+002 
 8.055000000E-003  5.269107006E+000  1.395056086E+001  8.681416132E+000  1.772455797E+002 
 8.056000000E-003  4.915734615E+000  1.360700959E+001  8.691237230E+000  1.774460937E+002 
 8.057000000E-003  4.562668480E+000  1.326308336E+001  8.700377118E+000  1.776326998E+002 
 8.058000000E-003  4.209934914E+000  1.291880911E+001  8.708836415E+000  1.778054104E+002 
 8.059000000E-003  3.857560157E+000  1.257421374E+001  8.716615785E+000  1.779642392E+002 
 8.060000000E-003  3.505570367E+000  1.222932412E+001  8.723715946E+000  1.781092009E+002 
 8.061000000E-003  3.153991627E+000  1.188416712E+001  8.730137667E+000  1.782403110E+002 
 8.062000000E-003  2.802849933E+000  1.153876953E+001  8.735881764E+000  1.783575863E+002 
 8.063000000E-003  2.452171203E+000  1.119315815E+001  8.740949106E+000  1.784610445E+002 
 8.064000000E-003  2.101981267E+000  1.084735973E+001  8.745340610E+000  1.785507044E+002 
