   Time             I(C0)             I(L0)             I(R0)             V0              
 9.002000000E-003  1.172252355E+001  2.153949310E+001  9.816939826E+000  1.472540974E+002 
 9.003000000E-003  1.147754341E+001  2.132326154E+001  9.845688360E+000  1.476853254E+002 
 9.004000000E-003  1.123254482E+001  2.110640436E+001  9.873829733E+000  1.481074460E+002 
 9.005000000E-003  1.098754114E+001  2.088893491E+001  9.901363916E+000  1.485204587E+002 
 9.006000000E-003  1.074254575E+001  2.067086656E+001  9.928290914E+000  1.489243637E+002 
 9.007000000E-003  1.049757195E+001  2.045221264E+001  9.954610762E+000  1.493191614E+002 
 9.008000000E-003  1.025263303E+001  2.023298653E+001  9.980323532E+000  1.497048530E+002 
 9.009000000E-003  1.000774223E+001  2.001320156E+001  1.000542932E+001  1.500814399E+002 
 9.010000000E-003  9.762912768E+000  1.979287109E+001  1.002992828E+001  1.504489242E+002 
 9.011000000E-003  9.518157822E+000  1.957200846E+001  1.005382056E+001  1.508073084E+002 
 9.012000000E-003  9.273490531E+000  1.935062702E+001  1.007710637E+001  1.511565955E+002 
 9.013000000E-003  9.028923997E+000  1.912874009E+001  1.009978594E+001  1.514967891E+002 
 9.014000000E-003  8.784471286E+000  1.890636101E+001  1.012185954E+001  1.518278931E+002 
 9.015000000E-003  8.540145423E+000  1.868350311E+001  1.014332747E+001  1.521499120E+002 
 9.016000000E-003  8.295959396E+000  1.846017969E+001  1.016419005E+001  1.524628508E+002 
 9.017000000E-003  8.051926153E+000  1.823640408E+001  1.018444765E+001  1.527667148E+002 
 9.018000000E-003  7.808058599E+000  1.801218958E+001  1.020410067E+001  1.530615101E+002 
 9.019000000E-003 -1.018693188E+001  1.815129769E+001  1.018690160E+001  1.528035240E+002 
 9.020000000E-003 -1.016173227E+001  1.837123875E+001  1.016170203E+001  1.524255304E+002 
 9.021000000E-003 -1.013657943E+001  1.859117980E+001  1.013654923E+001  1.520482384E+002 
 9.022000000E-003 -1.011148885E+001  1.881112084E+001  1.011145868E+001  1.516718802E+002 
 9.023000000E-003 -1.008646037E+001  1.903106189E+001  1.008643024E+001  1.512964537E+002 
 9.024000000E-003 -1.006149385E+001  1.925100293E+001  1.006146376E+001  1.509219564E+002 
 9.025000000E-003 -1.003658913E+001  1.947094397E+001  1.003655907E+001  1.505483861E+002 
 9.026000000E-003 -1.001174605E+001  1.969088500E+001  1.001171603E+001  1.501757404E+002 
 9.027000000E-003 -9.986964459E+000  1.991082603E+001  9.986934479E+000  1.498040172E+002 
 9.028000000E-003 -9.962244213E+000  2.013076705E+001  9.962214270E+000  1.494332141E+002 
 9.029000000E-003 -9.937585156E+000  2.035070808E+001  9.937555250E+000  1.490633287E+002 
 9.030000000E-003 -9.912987136E+000  2.057064910E+001  9.912957267E+000  1.486943590E+002 
 9.031000000E-003 -9.888450003E+000  2.079059011E+001  9.888420170E+000  1.483263025E+002 
 9.032000000E-003 -9.863973604E+000  2.101053112E+001  9.863943809E+000  1.479591571E+002 
 9.033000000E-003 -9.839557792E+000  2.123047213E+001  9.839528032E+000  1.475929205E+002 
 9.034000000E-003 -9.815202414E+000  2.145041314E+001  9.815172691E+000  1.472275904E+002 
 9.035000000E-003 -9.790907322E+000  2.167035414E+001  9.790877636E+000  1.468631645E+002 
 9.036000000E-003 -9.766672367E+000  2.189029514E+001  9.766642717E+000  1.464996408E+002 
 9.037000000E-003  1.205653854E+001  2.183344581E+001  9.776877600E+000  1.466531640E+002 
 9.038000000E-003  1.181159339E+001  2.161792532E+001  9.806302215E+000  1.470945332E+002 
 9.039000000E-003  1.156662403E+001  2.140192529E+001  9.835271505E+000  1.475290726E+002 
 9.040000000E-003  1.132163134E+001  2.118529479E+001  9.863633656E+000  1.479545048E+002 
 9.041000000E-003  1.107662870E+001  2.096804717E+001  9.891388625E+000  1.483708294E+002 
 9.042000000E-003  1.083162950E+001  2.075019578E+001  9.918536404E+000  1.487780461E+002 
 9.043000000E-003  1.058664704E+001  2.053175398E+001  9.945077020E+000  1.491761553E+002 
 9.044000000E-003  1.034169464E+001  2.031273512E+001  9.971010529E+000  1.495651579E+002 
 9.045000000E-003  1.009678554E+001  2.009315256E+001  9.996337022E+000  1.499450553E+002 
 9.046000000E-003  9.851932981E+000  1.987301964E+001  1.002105662E+001  1.503158494E+002 
 9.047000000E-003  9.607150147E+000  1.965234971E+001  1.004516949E+001  1.506775423E+002 
 9.048000000E-003  9.362450192E+000  1.943115611E+001  1.006867581E+001  1.510301372E+002 
 9.049000000E-003  9.117846232E+000  1.920945218E+001  1.009157581E+001  1.513736371E+002 
 9.050000000E-003  8.873351346E+000  1.898725125E+001  1.011386973E+001  1.517080460E+002 
 9.051000000E-003  8.628978574E+000  1.876456665E+001  1.013555787E+001  1.520333681E+002 
 9.052000000E-003  8.384740918E+000  1.854141170E+001  1.015664055E+001  1.523496082E+002 
 9.053000000E-003  8.140651340E+000  1.831779972E+001  1.017711811E+001  1.526567716E+002 
 9.054000000E-003  7.896722762E+000  1.809374400E+001  1.019699094E+001  1.529548641E+002 
 9.055000000E-003 -1.019604529E+001  1.807127021E+001  1.019601500E+001  1.529402249E+002 
 9.056000000E-003 -1.017082313E+001  1.829121127E+001  1.017079288E+001  1.525618932E+002 
 9.057000000E-003 -1.014564779E+001  1.851115232E+001  1.014561757E+001  1.521842636E+002 
 9.058000000E-003 -1.012053476E+001  1.873109337E+001  1.012050458E+001  1.518075687E+002 
 9.059000000E-003 -1.009548390E+001  1.895103441E+001  1.009545375E+001  1.514318063E+002 
 9.060000000E-003 -1.007049504E+001  1.917097545E+001  1.007046493E+001  1.510569740E+002 
 9.061000000E-003 -1.004556803E+001  1.939091649E+001  1.004553797E+001  1.506830695E+002 
 9.062000000E-003 -1.002070273E+001  1.961085753E+001  1.002067270E+001  1.503100905E+002 
