   Time             I(L0)             V0              
 8.001000000E-003  3.295518390E+001  4.829681920E+001 
 8.002000000E-003  3.355170005E+001  4.824677453E+001 
 8.003000000E-003  3.414822444E+001  4.825661149E+001 
 8.004000000E-003  3.474458888E+001  4.834155144E+001 
 8.005000000E-003  3.534055125E+001  4.849486152E+001 
 8.006000000E-003  3.593589120E+001  4.871037976E+001 
 8.007000000E-003  3.653040830E+001  4.898246689E+001 
 8.008000000E-003  3.712392033E+001  4.930596211E+001 
 8.009000000E-003  3.763198371E+001  4.968536445E+001 
 8.010000000E-003  3.746342410E+001  5.002474901E+001 
 8.011000000E-003  3.729408168E+001  5.032556794E+001 
 8.012000000E-003  3.712380577E+001  5.057793052E+001 
 8.013000000E-003  3.695275281E+001  5.078604873E+001 
 8.014000000E-003  3.678106561E+001  5.095377805E+001 
 8.015000000E-003  3.660887452E+001  5.108464753E+001 
 8.016000000E-003  3.643629851E+001  5.118188744E+001 
 8.017000000E-003  3.626344608E+001  5.124845446E+001 
 8.018000000E-003  3.609041619E+001  5.128705485E+001 
 8.019000000E-003  3.591729904E+001  5.130016558E+001 
 8.020000000E-003  3.574417684E+001  5.129005375E+001 
 8.021000000E-003  3.557112445E+001  5.125879426E+001 
 8.022000000E-003  3.539821006E+001  5.120828615E+001 
 8.023000000E-003  3.522549568E+001  5.114026737E+001 
 8.024000000E-003  3.505303774E+001  5.105632847E+001 
 8.025000000E-003  3.488088751E+001  5.095792499E+001 
 8.026000000E-003  3.470909155E+001  5.084638895E+001 
 8.027000000E-003  3.453769214E+001  5.072293922E+001 
 8.028000000E-003  3.436672760E+001  5.058869112E+001 
 8.029000000E-003  3.419623266E+001  5.044466519E+001 
 8.030000000E-003  3.402623873E+001  5.029179513E+001 
 8.031000000E-003  3.385677422E+001  5.013093525E+001 
 8.032000000E-003  3.368786479E+001  4.996286708E+001 
 8.033000000E-003  3.351953356E+001  4.978830558E+001 
 8.034000000E-003  3.335180132E+001  4.960790476E+001 
 8.035000000E-003  3.318468679E+001  4.942226282E+001 
 8.036000000E-003  3.301820673E+001  4.923192688E+001 
 8.037000000E-003  3.285237613E+001  4.903739728E+001 
 8.038000000E-003  3.268720838E+001  4.883913157E+001 
 8.039000000E-003  3.252271539E+001  4.863754811E+001 
 8.040000000E-003  3.235890769E+001  4.843302937E+001 
 8.041000000E-003  3.295518390E+001  4.829681920E+001 
 8.042000000E-003  3.355170005E+001  4.824677453E+001 
 8.043000000E-003  3.414822444E+001  4.825661149E+001 
 8.044000000E-003  3.474458888E+001  4.834155144E+001 
 8.045000000E-003  3.534055125E+001  4.849486152E+001 
 8.046000000E-003  3.593589120E+001  4.871037976E+001 
 8.047000000E-003  3.653040830E+001  4.898246689E+001 
 8.048000000E-003  3.712392033E+001  4.930596211E+001 
 8.049000000E-003  3.763198371E+001  4.968536445E+001 
 8.050000000E-003  3.746342410E+001  5.002474901E+001 
 8.051000000E-003  3.729408168E+001  5.032556794E+001 
 8.052000000E-003  3.712380577E+001  5.057793052E+001 
 8.053000000E-003  3.695275281E+001  5.078604873E+001 
 8.054000000E-003  3.678106561E+001  5.095377805E+001 
 8.055000000E-003  3.660887452E+001  5.108464753E+001 
 8.056000000E-003  3.643629851E+001  5.118188744E+001 
 8.057000000E-003  3.626344608E+001  5.124845446E+001 
 8.058000000E-003  3.609041619E+001  5.128705485E+001 
 8.059000000E-003  3.591729904E+001  5.130016558E+001 
 8.060000000E-003  3.574417684E+001  5.129005375E+001 
 8.061000000E-003  3.557112445E+001  5.125879426E+001 
 8.062000000E-003  3.539821006E+001  5.120828615E+001 
 8.063000000E-003  3.522549568E+001  5.114026737E+001 
 8.064000000E-003  3.505303774E+001  5.105632847E+001 
 8.065000000E-003  3.488088751E+001  5.095792499E+001 
 8.066000000E-003  3.470909155E+001  5.084638895E+001 
 8.067000000E-003  3.453769214E+001  5.072293922E+001 
 8.068000000E-003  3.436672760E+001  5.058869112E+001 
 8.069000000E-003  3.419623266E+001  5.044466519E+001 
 8.070000000E-003  3.402623873E+001  5.029179513E+001 
 8.071000000E-003  3.385677422E+001  5.013093525E+001 
 8.072000000E-003  3.368786479E+001  4.996286708E+001 
 8.073000000E-003  3.351953356E+001  4.978830558E+001 
 8.074000000E-003  3.335180132E+001  4.960790476E+001 
 8.075000000E-003  3.318468679E+001  4.942226282E+001 
 8.076000000E-003  3.301820673E+001  4.923192688E+001 
 8.077000000E-003  3.285237613E+001  4.903739728E+001 
 8.078000000E-003  3.268720838E+001  4.883913157E+001 
 8.079000000E-003  3.252271539E+001  4.863754811E+001 
 8.080000000E-003  3.235890769E+001  4.843302937E+001 
 8.081000000E-003  3.295518390E+001  4.829681920E+001 
 8.082000000E-003  3.355170005E+001  4.824677453E+001 
 8.083000000E-003  3.414822444E+001  4.825661149E+001 
 8.084000000E-003  3.474458888E+001  4.834155144E+001 
 8.085000000E-003  3.534055125E+001  4.849486152E+001 
 8.086000000E-003  3.593589120E+001  4.871037976E+001 
 8.087000000E-003  3.653040830E+001  4.898246689E+001 
 8.088000000E-003  3.712392034E+001  4.930596211E+001 
 8.089000000E-003  3.763198371E+001  4.968536445E+001 
 8.090000000E-003  3.746342410E+001  5.002474901E+001 
 8.091000000E-003  3.729408168E+001  5.032556794E+001 
 8.092000000E-003  3.712380577E+001  5.057793052E+001 
 8.093000000E-003  3.695275281E+001  5.078604873E+001 
 8.094000000E-003  3.678106561E+001  5.095377805E+001 
 8.095000000E-003  3.660887452E+001  5.108464753E+001 
 8.096000000E-003  3.643629851E+001  5.118188744E+001 
 8.097000000E-003  3.626344608E+001  5.124845446E+001 
 8.098000000E-003  3.609041619E+001  5.128705485E+001 
 8.099000000E-003  3.591729904E+001  5.130016558E+001 
 8.100000000E-003  3.574417684E+001  5.129005375E+001 
 8.101000000E-003  3.557112445E+001  5.125879426E+001 
 8.102000000E-003  3.539821006E+001  5.120828615E+001 
 8.103000000E-003  3.522549568E+001  5.114026737E+001 
 8.104000000E-003  3.505303774E+001  5.105632847E+001 
 8.105000000E-003  3.488088751E+001  5.095792499E+001 
 8.106000000E-003  3.470909155E+001  5.084638895E+001 
 8.107000000E-003  3.453769214E+001  5.072293922E+001 
 8.108000000E-003  3.436672760E+001  5.058869112E+001 
 8.109000000E-003  3.419623266E+001  5.044466519E+001 
 8.110000000E-003  3.402623873E+001  5.029179513E+001 
 8.111000000E-003  3.385677422E+001  5.013093525E+001 
 8.112000000E-003  3.368786479E+001  4.996286708E+001 
 8.113000000E-003  3.351953356E+001  4.978830558E+001 
 8.114000000E-003  3.335180132E+001  4.960790477E+001 
 8.115000000E-003  3.318468679E+001  4.942226282E+001 
 8.116000000E-003  3.301820673E+001  4.923192688E+001 
 8.117000000E-003  3.285237613E+001  4.903739728E+001 
 8.118000000E-003  3.268720838E+001  4.883913157E+001 
 8.119000000E-003  3.252271539E+001  4.863754811E+001 
 8.120000000E-003  3.235890769E+001  4.843302937E+001 
 8.121000000E-003  3.295518390E+001  4.829681920E+001 
 8.122000000E-003  3.355170005E+001  4.824677453E+001 
 8.123000000E-003  3.414822444E+001  4.825661149E+001 
 8.124000000E-003  3.474458888E+001  4.834155144E+001 
 8.125000000E-003  3.534055125E+001  4.849486152E+001 
 8.126000000E-003  3.593589120E+001  4.871037976E+001 
 8.127000000E-003  3.653040830E+001  4.898246689E+001 
 8.128000000E-003  3.712392034E+001  4.930596211E+001 
 8.129000000E-003  3.763198371E+001  4.968536445E+001 
 8.130000000E-003  3.746342410E+001  5.002474901E+001 
 8.131000000E-003  3.729408168E+001  5.032556794E+001 
 8.132000000E-003  3.712380577E+001  5.057793052E+001 
