   Time             I(L1)             V0              
 9.002000000E-003  3.091988380E+001  5.079263600E+001 
 9.003000000E-003  3.066836603E+001  5.081993019E+001 
 9.004000000E-003  3.041676085E+001  5.082794978E+001 
 9.005000000E-003  3.016516165E+001  5.081752222E+001 
 9.006000000E-003  2.991365777E+001  5.078944588E+001 
 9.007000000E-003  2.966233466E+001  5.074449102E+001 
 9.008000000E-003  2.941127406E+001  5.068340073E+001 
 9.009000000E-003  2.916055407E+001  5.060689185E+001 
 9.010000000E-003  2.891024930E+001  5.051565580E+001 
 9.011000000E-003  2.866043100E+001  5.041035950E+001 
 9.012000000E-003  2.841116720E+001  5.029164612E+001 
 9.013000000E-003  2.816252277E+001  5.016013591E+001 
 9.014000000E-003  2.791455960E+001  5.001642696E+001 
 9.015000000E-003  2.766733663E+001  4.986109594E+001 
 9.016000000E-003  2.742091003E+001  4.969469882E+001 
 9.017000000E-003  2.717533326E+001  4.951777156E+001 
 9.018000000E-003  2.693065716E+001  4.933083077E+001 
 9.019000000E-003  2.729470266E+001  4.916177391E+001 
 9.020000000E-003  2.779438040E+001  4.903598670E+001 
 9.021000000E-003  2.829443565E+001  4.894112950E+001 
 9.022000000E-003  2.879486127E+001  4.888634894E+001 
 9.023000000E-003  2.929546309E+001  4.886993811E+001 
 9.024000000E-003  2.979605522E+001  4.889025000E+001 
 9.025000000E-003  3.029645981E+001  4.894569546E+001 
 9.026000000E-003  3.079650672E+001  4.903474128E+001 
 9.027000000E-003  3.129603327E+001  4.915590834E+001 
 9.028000000E-003  3.179488400E+001  4.930776977E+001 
 9.029000000E-003  3.229291033E+001  4.948894927E+001 
 9.030000000E-003  3.278997043E+001  4.969811936E+001 
 9.031000000E-003  3.275906417E+001  4.991747869E+001 
 9.032000000E-003  3.251122950E+001  5.010834876E+001 
 9.033000000E-003  3.226274257E+001  5.027972210E+001 
 9.034000000E-003  3.201346987E+001  5.042580668E+001 
 9.035000000E-003  3.176353402E+001  5.054763985E+001 
 9.036000000E-003  3.151305259E+001  5.064622291E+001 
 9.037000000E-003  3.126213831E+001  5.072252230E+001 
 9.038000000E-003  3.101089916E+001  5.077747078E+001 
 9.039000000E-003  3.075943862E+001  5.081196851E+001 
 9.040000000E-003  3.050785578E+001  5.082688417E+001 
 9.041000000E-003  3.025624552E+001  5.082305599E+001 
 9.042000000E-003  3.000469861E+001  5.080129278E+001 
 9.043000000E-003  2.975330191E+001  5.076237488E+001 
 9.044000000E-003  2.950213849E+001  5.070705513E+001 
 9.045000000E-003  2.925128774E+001  5.063605977E+001 
 9.046000000E-003  2.900082553E+001  5.055008936E+001 
 9.047000000E-003  2.875082433E+001  5.044981960E+001 
 9.048000000E-003  2.850135331E+001  5.033590217E+001 
 9.049000000E-003  2.825247847E+001  5.020896556E+001 
 9.050000000E-003  2.800426276E+001  5.006961580E+001 
 9.051000000E-003  2.775676620E+001  4.991843724E+001 
 9.052000000E-003  2.751004595E+001  4.975599329E+001 
 9.053000000E-003  2.726415642E+001  4.958282707E+001 
 9.054000000E-003  2.701914941E+001  4.939946214E+001 
 9.055000000E-003  2.711280362E+001  4.921527691E+001 
 9.056000000E-003  2.761227328E+001  4.907425221E+001 
 9.057000000E-003  2.811217563E+001  4.896463919E+001 
 9.058000000E-003  2.861251985E+001  4.889573007E+001 
 9.059000000E-003  2.911310870E+001  4.886579597E+001 
 9.060000000E-003  2.961375338E+001  4.887316862E+001 
 9.061000000E-003  3.011427317E+001  4.891623831E+001 
 9.062000000E-003  3.061449521E+001  4.899345196E+001 
 9.063000000E-003  3.111425416E+001  4.910331125E+001 
 9.064000000E-003  3.161339201E+001  4.924437075E+001 
 9.065000000E-003  3.211175774E+001  4.941523622E+001 
 9.066000000E-003  3.260920714E+001  4.961456284E+001 
 9.067000000E-003  3.284890937E+001  4.983978277E+001 
 9.068000000E-003  3.260142310E+001  5.004037724E+001 
 9.069000000E-003  3.235324932E+001  5.022117916E+001 
 9.070000000E-003  3.210424405E+001  5.037630702E+001 
 9.071000000E-003  3.185453178E+001  5.050681153E+001 
 9.072000000E-003  3.160423189E+001  5.061370694E+001 
 9.073000000E-003  3.135345885E+001  5.069797218E+001 
 9.074000000E-003  3.110232234E+001  5.076055210E+001 
 9.075000000E-003  3.085092747E+001  5.080235856E+001 
 9.076000000E-003  3.059937488E+001  5.082427153E+001 
 9.077000000E-003  3.034776097E+001  5.082714017E+001 
 9.078000000E-003  3.009617798E+001  5.081178384E+001 
 9.079000000E-003  2.984471417E+001  5.077899309E+001 
 9.080000000E-003  2.959345398E+001  5.072953063E+001 
 9.081000000E-003  2.934247811E+001  5.066413224E+001 
 9.082000000E-003  2.909186369E+001  5.058350770E+001 
 9.083000000E-003  2.884168441E+001  5.048834162E+001 
 9.084000000E-003  2.859201062E+001  5.037929431E+001 
 9.085000000E-003  2.834290947E+001  5.025700256E+001 
 9.086000000E-003  2.809444500E+001  5.012208047E+001 
 9.087000000E-003  2.784667826E+001  4.997512017E+001 
 9.088000000E-003  2.759966745E+001  4.981669256E+001 
 9.089000000E-003  2.735346797E+001  4.964734807E+001 
 9.090000000E-003  2.710813255E+001  4.946761725E+001 
 9.091000000E-003  2.693113992E+001  4.927080553E+001 
 9.092000000E-003  2.743039174E+001  4.911447323E+001 
