   Time             I(L0)             VC                V0                d               
 9.202000000E-003  3.369730183E+001  2.222222220E-001  4.846433876E+001  2.232842787E-001 
 9.203000000E-003  3.429309346E+001  2.222222220E-001  4.847327641E+001  2.233233742E-001 
 9.204000000E-003  3.488872819E+001  2.222222220E-001  4.855730410E+001  2.233485395E-001 
 9.205000000E-003  3.548396395E+001  2.222222220E-001  4.870969050E+001  2.233551002E-001 
 9.206000000E-003  3.607858043E+001  2.222222220E-001  4.892427507E+001  2.233435426E-001 
 9.207000000E-003  3.667237721E+001  2.222222220E-001  4.919541982E+001  2.233143177E-001 
 9.208000000E-003  3.726517213E+001  2.222222220E-001  4.951796515E+001  2.232678438E-001 
 9.209000000E-003  3.780255862E+001  2.222222220E-001  4.989804437E+001  2.232045092E-001 
 9.210000000E-003  3.763327447E+001  2.222222220E-001  5.024006338E+001  2.231220055E-001 
 9.211000000E-003  3.746320132E+001  2.222222220E-001  5.054327275E+001  2.230429451E-001 
 9.212000000E-003  3.729218714E+001  2.222222220E-001  5.079771903E+001  2.229681045E-001 
 9.213000000E-003  3.712038934E+001  2.222222220E-001  5.100764068E+001  2.229005356E-001 
 9.214000000E-003  3.694795164E+001  2.222222220E-001  5.117691738E+001  2.228399551E-001 
 9.215000000E-003  3.677500524E+001  2.222222220E-001  5.130910035E+001  2.227861021E-001 
 9.216000000E-003  3.660166984E+001  2.222222220E-001  5.140744014E+001  2.227387359E-001 
 9.217000000E-003  3.642805464E+001  2.222222220E-001  5.147491201E+001  2.226976346E-001 
 9.218000000E-003  3.625425922E+001  2.222222220E-001  5.151423921E+001  2.226625934E-001 
 9.219000000E-003  3.608037437E+001  2.222222220E-001  5.152791429E+001  2.226334230E-001 
 9.220000000E-003  3.590648280E+001  2.222222220E-001  5.151821858E+001  2.226099486E-001 
 9.221000000E-003  3.573265988E+001  2.222222220E-001  5.148724002E+001  2.225920085E-001 
 9.222000000E-003  3.555897421E+001  2.222222220E-001  5.143688959E+001  2.225794530E-001 
 9.223000000E-003  3.538548822E+001  2.222222220E-001  5.136891615E+001  2.225721435E-001 
 9.224000000E-003  3.521225868E+001  2.222222220E-001  5.128492025E+001  2.225699515E-001 
 9.225000000E-003  3.503933719E+001  2.222222220E-001  5.118636659E+001  2.225727577E-001 
 9.226000000E-003  3.486677064E+001  2.222222220E-001  5.107459556E+001  2.225804513E-001 
 9.227000000E-003  3.469460156E+001  2.222222220E-001  5.095083368E+001  2.225929293E-001 
 9.228000000E-003  3.452286851E+001  2.222222220E-001  5.081620329E+001  2.226100958E-001 
 9.229000000E-003  3.435160646E+001  2.222222220E-001  5.067173135E+001  2.226318615E-001 
 9.230000000E-003  3.418084703E+001  2.222222220E-001  5.051835744E+001  2.226581430E-001 
 9.231000000E-003  3.401061881E+001  2.222222220E-001  5.035694123E+001  2.226888624E-001 
 9.232000000E-003  3.384094762E+001  2.222222220E-001  5.018826918E+001  2.227239470E-001 
 9.233000000E-003  3.367185674E+001  2.222222220E-001  5.001306074E+001  2.227633285E-001 
 9.234000000E-003  3.350336711E+001  2.222222220E-001  4.983197405E+001  2.228069429E-001 
 9.235000000E-003  3.333549756E+001  2.222222220E-001  4.964561106E+001  2.228547301E-001 
 9.236000000E-003  3.316826496E+001  2.222222220E-001  4.945452234E+001  2.229066336E-001 
 9.237000000E-003  3.300168442E+001  2.222222220E-001  4.925921139E+001  2.229626002E-001 
 9.238000000E-003  3.283576940E+001  2.222222220E-001  4.906013865E+001  2.230225795E-001 
 9.239000000E-003  3.267053190E+001  2.222222220E-001  4.885772510E+001  2.230865242E-001 
 9.240000000E-003  3.250598254E+001  2.222222220E-001  4.865235563E+001  2.231543891E-001 
 9.241000000E-003  3.310152073E+001  2.222222220E-001  4.851527220E+001  2.232261317E-001 
 9.242000000E-003  3.369730183E+001  2.222222220E-001  4.846433876E+001  2.232842787E-001 
 9.243000000E-003  3.429309346E+001  2.222222220E-001  4.847327641E+001  2.233233742E-001 
 9.244000000E-003  3.488872819E+001  2.222222220E-001  4.855730410E+001  2.233485395E-001 
 9.245000000E-003  3.548396395E+001  2.222222220E-001  4.870969050E+001  2.233551002E-001 
 9.246000000E-003  3.607858043E+001  2.222222220E-001  4.892427507E+001  2.233435426E-001 
 9.247000000E-003  3.667237721E+001  2.222222220E-001  4.919541982E+001  2.233143177E-001 
 9.248000000E-003  3.726517213E+001  2.222222220E-001  4.951796515E+001  2.232678438E-001 
 9.249000000E-003  3.780255862E+001  2.222222220E-001  4.989804437E+001  2.232045092E-001 
 9.250000000E-003  3.763327447E+001  2.222222220E-001  5.024006338E+001  2.231220055E-001 
 9.251000000E-003  3.746320132E+001  2.222222220E-001  5.054327275E+001  2.230429451E-001 
 9.252000000E-003  3.729218714E+001  2.222222220E-001  5.079771903E+001  2.229681045E-001 
 9.253000000E-003  3.712038934E+001  2.222222220E-001  5.100764068E+001  2.229005356E-001 
 9.254000000E-003  3.694795164E+001  2.222222220E-001  5.117691738E+001  2.228399551E-001 
 9.255000000E-003  3.677500524E+001  2.222222220E-001  5.130910035E+001  2.227861021E-001 
 9.256000000E-003  3.660166984E+001  2.222222220E-001  5.140744014E+001  2.227387359E-001 
 9.257000000E-003  3.642805464E+001  2.222222220E-001  5.147491201E+001  2.226976346E-001 
 9.258000000E-003  3.625425922E+001  2.222222220E-001  5.151423921E+001  2.226625934E-001 
 9.259000000E-003  3.608037437E+001  2.222222220E-001  5.152791429E+001  2.226334230E-001 
 9.260000000E-003  3.590648280E+001  2.222222220E-001  5.151821857E+001  2.226099486E-001 
 9.261000000E-003  3.573265988E+001  2.222222220E-001  5.148724002E+001  2.225920085E-001 
 9.262000000E-003  3.555897421E+001  2.222222220E-001  5.143688959E+001  2.225794530E-001 
 9.263000000E-003  3.538548822E+001  2.222222220E-001  5.136891615E+001  2.225721435E-001 
 9.264000000E-003  3.521225868E+001  2.222222220E-001  5.128492025E+001  2.225699515E-001 
 9.265000000E-003  3.503933719E+001  2.222222220E-001  5.118636659E+001  2.225727577E-001 
 9.266000000E-003  3.486677064E+001  2.222222220E-001  5.107459555E+001  2.225804513E-001 
 9.267000000E-003  3.469460155E+001  2.222222220E-001  5.095083367E+001  2.225929293E-001 
 9.268000000E-003  3.452286851E+001  2.222222220E-001  5.081620329E+001  2.226100958E-001 
 9.269000000E-003  3.435160646E+001  2.222222220E-001  5.067173135E+001  2.226318615E-001 
 9.270000000E-003  3.418084703E+001  2.222222220E-001  5.051835744E+001  2.226581430E-001 
 9.271000000E-003  3.401061881E+001  2.222222220E-001  5.035694123E+001  2.226888624E-001 
 9.272000000E-003  3.384094762E+001  2.222222220E-001  5.018826918E+001  2.227239470E-001 
